name,order,family,genus,species,mass,logmb,sv,logsv,habitat,adult,fasted,resting,tnz,nonrep,sedated
gray whale,artiodactyla,Balaenopteridae,Eschrichtius,robustus,4500,3.653212514,7150,3.854306042,aquatic,y,n,y,m,y,m
african elephant,proboscidea,Elephantidae,Loxodonta,africana,4080,3.610660163,5220,3.717670503,land,y,n,y,m,m,n
asian elephant,proboscidea,Elephantidae,Elephas,maximus,2960,3.471291711,3710,3.56937391,land,y,n,y,m,m,n
giraffe,artiodactyla,Giraffidae,Giraffa,camelopardalis,651,2.813580989,700,2.84509804,land,y,n,y,m,m,n
horse,perissodactyla,Equidae,Equus,caballus,453,2.656098202,1404.3,3.147459896,land,y,n,y,m,y,n
cow,artiodactyla,Bovidae,Bos,taurus,449,2.652246341,691.46,2.839767062,land,y,n,y,m,y,n
weddell seal,carnivora,Phocidae,Leptonychotes,weddellii,415,2.618048097,826.21,2.917090447,aquatic,y,n,y,m,m,y
camel,artiodactyla,Camelidae,Camelus,dromedarius,369,2.567026366,422,2.625312451,land,y,m,m,m,m,m
llama,artiodactyla,Camelidae,Lama,glama,115,2.06069784,159.5,2.202760687,land,y,y,y,m,m,n
northern elephant seal,carnivora,Phocidae,Mirounga,angustirostris,102,2.008600172,104.9,2.020775488,aquatic,n,y,y,m,y,n
pig,artiodactyla,Suidae,Sus,scrofa,102,2.008600172,94,1.973127854,land,y,m,m,m,m,m
dolphin,artiodactyla,Delphinidae,Tursiops,truncatus,93.1,1.968949681,55.9,1.747411808,aquatic,y,n,y,m,m,y
human,primates,Hominidae,Homo,sapiens,73,1.86332286,80,1.903089987,land,y,n,y,m,y,n
sheep,artiodactyla,Bovidae,Ovis,aries,47.5,1.67669361,56.7,1.753583059,land,y,m,m,m,m,n
grey seal,carnivora,Phocidae,Halichoerus,grypus,39,1.591064607,59.85,1.777064155,aquatic,n,m,n,m,y,n
california sea lion,carnivora,Otariidae,Zalophus,californianus,36,1.556302501,72.9666667,1.863124507,aquatic,y,n,y,m,m,n
harbor seal,carnivora,Phocidae,Phoca,vitulina,34.75,1.540954809,86.18,1.93540649,aquatic,n,n,y,m,y,n
goat,artiodactyla,Bovidae,Capra,hircus,31.2,1.494154594,50.2,1.700703717,land,y,m,m,m,m,m
european kangaroo,diprotodontia,Macropodidae,Macropus,robustus,30.3,1.481442629,27,1.431363764,land,m,m,y,m,m,y
dog,carnivora,Canidae,Canis,lupus,24.8,1.394451681,46,1.662757832,land,y,n,y,m,y,n